id;title;description;due_date;priority;status;category;created_at;updated_at;privilege
1;greatly sway amused;better unto shyly;2024-09-24T01:28:01;HIGH;COMPLETED;sleepily throughout;2024-09-23T21:50:07;2024-09-24T02:07:34;VIEW
2;past respray;rowdy phew compromise;2024-09-23T16:34:52;MEDIUM;PENDING;though helplessly;2024-09-24T01:21:53;2024-09-24T09:12:32;VIEW
3;metal esteemed separately;thin;2024-09-24T01:45:21;MEDIUM;IN_PROGRESS;rich jaggedly;2024-09-24T05:27:12;2024-09-24T10:11:14;VIEW
4;hence valuable incandescence;lady;2024-09-24T02:59:39;MEDIUM;COMPLETED;mythology acquaintance;2024-09-23T20:25:21;2024-09-24T07:51:42;VIEW
5;victoriously unlike;bolster given;2024-09-24T10:10:13;HIGH;IN_PROGRESS;caption instead now;2024-09-24T01:53:42;2024-09-24T06:46:50;VIEW
6;belabor lonely unlike;informal;2024-09-24T09:36:01;HIGH;COMPLETED;jovially indeed;2024-09-23T16:54:10;2024-09-23T19:35:16;EDIT
7;clamp efface;clavicle;2024-09-23T17:06:48;MEDIUM;PENDING;robust joyfully shoulder;2024-09-24T03:01:57;2024-09-23T14:36:48;EDIT
8;once;however lack oof;2024-09-24T00:50:54;HIGH;COMPLETED;back derby afterwards;2024-09-23T18:54:08;2024-09-24T06:52:04;VIEW
9;queasily;up put;2024-09-24T01:17:28;HIGH;IN_PROGRESS;infinite what thoughtfully;2024-09-23T22:48:58;2024-09-23T16:32:26;VIEW
10;yet collectivization anti;discontinue instantly refute;2024-09-24T10:58:04;LOW;PENDING;fuzzy monthly;2024-09-23T14:59:42;2024-09-23T23:32:33;VIEW
