id;name;description;created_at;updated_at;privilege
1;axe upwardly;pricey;2024-09-23T16:31:59;2024-09-24T09:57:45;EDIT
2;case married because;with;2024-09-23T13:33:51;2024-09-24T10:39:09;VIEW
3;however searchingly disrespect;or;2024-09-23T23:23:29;2024-09-24T04:47:55;EDIT
4;opera;foolishly braid;2024-09-23T19:14:58;2024-09-23T19:31:22;VIEW
5;avaricious object;braid ha;2024-09-24T10:27:14;2024-09-24T00:33:13;EDIT
6;because freely;diligently aw;2024-09-24T02:51:09;2024-09-24T05:30:50;VIEW
7;towards rightfully;qua;2024-09-24T05:23:36;2024-09-23T13:48:03;VIEW
8;disposer aside colorless;provided;2024-09-24T10:50:27;2024-09-23T17:06:02;EDIT
9;inasmuch yet;finally;2024-09-23T20:09:06;2024-09-24T11:29:38;VIEW
10;whenever eek;healthily hence;2024-09-23T21:41:10;2024-09-23T23:19:06;EDIT
